"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.247750917E0,1.007554779E0,5.276677094E0,8.239016876E0,9.835643694E0
3.257829917E0,8.677455139E-1,5.346881104E0,8.385861511E0,9.983225586E0
3.267908917E0,7.911048889E-1,5.289101257E0,8.212222595E0,9.800053011E0
3.277987917E0,6.536906433E-1,5.119354248E0,8.117769012E0,9.619421662E0
3.288066917E0,4.043092346E-1,4.909041595E0,8.149053955E0,9.522039472E0
3.298145917E0,4.080514526E-1,4.785847778E0,8.108937378E0,9.424739272E0
3.308225917E0,6.231541443E-1,4.778812408E0,8.093220062E0,9.419425678E0
3.318304917E0,7.646099854E-1,4.962480469E0,8.424780579E0,9.807536318E0
3.328383917E0,6.807843018E-1,4.936135254E0,8.584498444E0,9.925850696E0
3.338462917E0,7.262896729E-1,4.889432373E0,8.734486542E0,1.003619952E1
3.348541917E0,1.007704468E0,5.457052002E0,9.039252777E0,1.060674199E1
3.358621917E0,1.110390930E0,5.926924896E0,9.026379547E0,1.085527220E1
3.368700917E0,9.355545044E-1,5.853727112E0,8.727151794E0,1.055009771E1
3.378779917E0,6.418652344E-1,5.558241577E0,8.374335480E0,1.007152099E1
3.388858917E0,2.947370911E-1,5.343438263E0,8.048014069E0,9.664871074E0
3.398938667E0,9.684860229E-2,5.204377441E0,7.692653046E0,9.288263298E0
3.409017667E0,1.794767761E-1,5.266348572E0,7.341483307E0,9.036814502E0
3.419096667E0,3.947291565E-1,5.462590485E0,7.283404083E0,9.112830567E0
3.429175667E0,6.262976074E-1,5.569019165E0,7.696994019E0,9.521026209E0
3.439254667E0,7.970924377E-1,5.588628387E0,8.107590179E0,9.879329032E0
3.449333667E0,9.211843872E-1,5.621260529E0,8.527467041E0,1.025499121E1
3.459413667E0,1.046623535E0,5.703739014E0,8.959319000E0,1.067227513E1
3.469492667E0,1.063538361E0,5.705086212E0,9.110654297E0,1.080199723E1
3.479571667E0,9.858499146E-1,5.670957184E0,9.024583282E0,1.070395996E1
3.489650667E0,8.243357849E-1,5.604944458E0,8.724756775E0,1.040270699E1
3.499730667E0,5.219645691E-1,5.494773560E0,8.510851593E0,1.014394294E1
3.509809667E0,1.643582153E-1,5.380112000E0,8.631800079E0,1.017254105E1
3.519888667E0,-1.170565796E-1,5.219346313E0,8.842711487E0,1.026882781E1
3.529967667E0,-3.257226562E-1,5.176984406E0,8.710087280E0,1.013769615E1
3.540046667E0,-4.285588074E-1,5.300327911E0,8.391849060E0,9.934800917E0
3.550126667E0,-4.189787292E-1,5.373226318E0,8.320896606E0,9.913850139E0
3.560205667E0,-3.884422302E-1,5.383854218E0,8.259075165E0,9.866564558E0
3.570284667E0,-3.614982605E-1,5.382207642E0,8.108039246E0,9.738538930E0
3.580363667E0,-3.335064697E-1,5.408253479E0,8.024363251E0,9.682501631E0
3.590442667E0,-2.977308655E-1,5.451812897E0,7.950267334E0,9.644566253E0
3.600521667E0,-2.282752991E-1,5.519621887E0,7.916287994E0,9.653287057E0
3.610601667E0,-1.601669312E-2,5.634133759E0,8.022117920E0,9.802963616E0
3.620680667E0,1.962419128E-1,5.780229950E0,8.128845978E0,9.976357356E0
3.630759667E0,2.812651062E-1,5.873785400E0,8.316705322E0,1.018567879E1
3.640838667E0,3.767665100E-1,5.907465363E0,8.563392334E0,1.041017715E1
3.650918667E0,5.511538696E-1,5.957461395E0,8.630602570E0,1.050154358E1
3.660997667E0,6.812333679E-1,5.929918671E0,8.440946960E0,1.033816231E1
3.671076667E0,7.149133301E-1,5.859864349E0,8.243058472E0,1.013889167E1
3.681155667E0,6.872209167E-1,5.800288239E0,8.187523956E0,1.005739354E1
3.691234667E0,5.921685791E-1,5.729635162E0,8.159382477E0,9.987737738E0
3.701314667E0,4.634362793E-1,5.698948975E0,8.147407379E0,9.953544072E0
3.711393667E0,3.246748352E-1,5.708678741E0,8.192763062E0,9.990785420E0
3.721472667E0,1.459465027E-1,5.681136017E0,8.299042053E0,1.005836497E1
3.731551667E0,-3.038681030E-2,5.616021423E0,8.287516022E0,1.001117085E1
3.741630667E0,-2.565664673E-1,5.550607452E0,8.088280334E0,9.813019322E0
3.751710667E0,-4.087998962E-1,5.490432587E0,7.896080017E0,9.626008881E0
3.761789667E0,-4.598437500E-1,5.442083130E0,7.945028229E0,9.641120195E0
3.771868667E0,-4.598437500E-1,5.477110291E0,8.086933136E0,9.777969163E0
3.781947667E0,-4.315525818E-1,5.565426636E0,8.174800415E0,9.898867263E0
3.792026667E0,-3.330574036E-1,5.645061035E0,8.264463959E0,1.001394058E1
3.802106667E0,-2.314187622E-1,5.702242126E0,8.382418671E0,1.014071312E1
3.812185667E0,-1.770817566E-1,5.726491699E0,8.422235870E0,1.018617309E1
3.822264667E0,-1.571731567E-1,5.744604034E0,8.383316803E0,1.016391556E1
3.832343667E0,-1.339714050E-1,5.720354462E0,8.298143921E0,1.007966250E1
3.842422667E0,-1.360670471E-1,5.700894928E0,8.190368042E0,9.980022339E0
3.852502667E0,-1.487905884E-1,5.665119324E0,8.202043762E0,9.969415102E0
3.862581667E0,-1.739382935E-1,5.616769867E0,8.256530457E0,9.987424766E0
3.872660667E0,-1.707948303E-1,5.574407959E0,8.180787964E0,9.900933627E0
3.882739667E0,-1.722917175E-1,5.553152161E0,8.107141113E0,9.828169737E0
3.892818667E0,-3.339555359E-1,5.470673676E0,8.192164307E0,9.856538581E0
3.902898667E0,-3.646417236E-1,5.408852234E0,8.255632324E0,9.876442231E0
3.912977667E0,-2.516267395E-1,5.453459473E0,8.366102600E0,9.989755200E0
3.923056667E0,-2.336640930E-1,5.488486633E0,8.396040344E0,1.003352271E1
3.933135667E0,-2.751278687E-1,5.449268188E0,8.344697113E0,9.970164946E0
3.943214667E0,-2.098635864E-1,5.452561340E0,8.268056488E0,9.906322526E0
3.953294667E0,-1.502874756E-1,5.502856750E0,8.192912750E0,9.870554092E0
3.963373667E0,-1.263372803E-1,5.528303833E0,8.282426605E0,9.958749663E0
3.973452667E0,-1.321751404E-1,5.563480682E0,8.418942719E0,1.009199604E1
3.983531667E0,-1.823208618E-1,5.580694885E0,8.394244080E0,1.008170273E1
3.993610667E0,-2.404000854E-1,5.537584534E0,8.273145905E0,9.958291913E0
4.003690667E0,-2.541714478E-1,5.495372314E0,8.122858429E0,9.810430625E0
4.013769667E0,-2.845582581E-1,5.486091614E0,8.048163757E0,9.744286247E0
4.023848667E0,-3.197351074E-1,5.472769318E0,8.067623291E0,9.753972530E0
4.033927667E0,-3.450325012E-1,5.519322510E0,8.145311737E0,9.845205518E0
4.044006667E0,-3.764671326E-1,5.567222900E0,8.177494812E0,9.899854530E0
4.054086667E0,-3.866459656E-1,5.538482666E0,8.171207886E0,9.878913081E0
4.064165667E0,-3.767665100E-1,5.486989746E0,8.167016602E0,9.846276943E0
4.074244667E0,-3.299139404E-1,5.481750641E0,8.201894073E0,9.870638262E0
4.084323667E0,-2.927911377E-1,5.512885895E0,8.229736176E0,9.909903887E0
4.094402667E0,-2.836601257E-1,5.553301849E0,8.252788239E0,9.951288269E0
4.104482667E0,-2.975811768E-1,5.532644806E0,8.291258240E0,9.972145020E0
4.114561667E0,-2.642005920E-1,5.472919006E0,8.346343689E0,9.984192375E0
4.124640667E0,-2.290237427E-1,5.474864960E0,8.300389252E0,9.946007236E0
4.134719667E0,-2.544708252E-1,5.470523987E0,8.200397186E0,9.860928055E0
4.144798667E0,-3.159928894E-1,5.434149628E0,8.268655243E0,9.899519847E0
4.154878667E0,-3.338058472E-1,5.390739899E0,8.342152405E0,9.937958027E0
4.164957667E0,-3.309617615E-1,5.364843750E0,8.360713806E0,9.939447646E0
4.175036667E0,-3.119512939E-1,5.401068420E0,8.352480927E0,9.951522060E0
4.185115667E0,-2.787203979E-1,5.430706787E0,8.304580536E0,9.926546184E0
4.195194667E0,-2.680924988E-1,5.427563324E0,8.296796722E0,9.918021631E0
4.205274667E0,-2.537223816E-1,5.400020599E0,8.361312561E0,9.956713577E0
4.215353667E0,-2.389031982E-1,5.411546631E0,8.375233612E0,9.974289435E0
4.225432667E0,-2.246827698E-1,5.442232819E0,8.319848785E0,9.944257851E0
4.235511667E0,-2.423460388E-1,5.435796204E0,8.284372559E0,9.911480246E0
4.245590667E0,-2.047741699E-1,5.410798187E0,8.271349640E0,9.886045435E0
4.255670667E0,-1.550775146E-1,5.429658966E0,8.221802673E0,9.854099894E0
4.265749667E0,-1.561253357E-1,5.491630096E0,8.173752594E0,9.848482508E0
4.275828667E0,-2.460882568E-1,5.506598969E0,8.224796448E0,9.901033695E0
4.285907667E0,-2.782713318E-1,5.443280640E0,8.259075165E0,9.895406087E0
4.295986667E0,-2.495310974E-1,5.445825348E0,8.268056488E0,9.903536620E0
4.306066667E0,-2.463876343E-1,5.457351379E0,8.252937927E0,9.897190277E0
4.316145667E0,-2.463876343E-1,5.445675659E0,8.259973297E0,9.896628169E0
4.326224667E0,-2.474354553E-1,5.430257721E0,8.314609680E0,9.933864170E0
4.336303667E0,-2.652484131E-1,5.423671417E0,8.333620148E0,9.946647331E0
4.346382667E0,-2.727328491E-1,5.440885620E0,8.351882172E0,9.971537261E0
4.356462667E0,-2.992277527E-1,5.424719238E0,8.304430847E0,9.923743636E0
4.366541667E0,-3.457809448E-1,5.411995697E0,8.306676178E0,9.920188053E0
4.376620667E0,-3.866459656E-1,5.417534180E0,8.301586761E0,9.920459387E0
4.386699667E0,-4.215234375E-1,5.392386475E0,8.263116760E0,9.875961345E0
4.396779667E0,-4.429289246E-1,5.349725189E0,8.288114777E0,9.874643902E0
4.406862917E0,-4.381388855E-1,5.353168030E0,8.290809174E0,9.878557101E0
4.416941917E0,-4.276606750E-1,5.386398926E0,8.317603455E0,9.918604452E0
4.427020917E0,-3.953279114E-1,5.384003906E0,8.385711823E0,9.973161234E0
4.437099917E0,-3.634442139E-1,5.394781494E0,8.359216919E0,9.955514380E0
4.447179917E0,-3.272195435E-1,5.386847992E0,8.303233337E0,9.902973683E0
4.457258917E0,-3.556604004E-1,5.378016357E0,8.352480927E0,9.940497567E0
4.467337917E0,-3.903881836E-1,5.374274139E0,8.411607971E0,9.989513207E0
4.477416917E0,-3.632945251E-1,5.384752350E0,8.389603729E0,9.975619856E0
4.487495917E0,-3.803590393E-1,5.381908264E0,8.356821899E0,9.947164512E0
4.497575917E0,-4.445755005E-1,5.337301025E0,8.387807465E0,9.951871365E0
4.507654917E0,-4.469705200E-1,5.347629547E0,8.325237579E0,9.904872799E0
4.517733917E0,-4.845423889E-1,5.360652466E0,8.268804932E0,9.866332205E0
4.527812917E0,-5.031037903E-1,5.356161804E0,8.287815399E0,9.880762460E0
4.537891917E0,-5.222639465E-1,5.349575500E0,8.274493103E0,9.867013417E0
4.547971917E0,-5.108876038E-1,5.365891571E0,8.256530457E0,9.860227871E0
4.558050917E0,-5.029541016E-1,5.401966553E0,8.309370575E0,9.923701165E0
4.568129917E0,-4.957690430E-1,5.406157837E0,8.346643066E0,9.956845885E0
4.578208917E0,-4.819976807E-1,5.390290833E0,8.348589020E0,9.949195729E0
4.588287917E0,-4.620890808E-1,5.383255463E0,8.339008942E0,9.936399540E0
4.598367917E0,-4.676275635E-1,5.386249237E0,8.338859253E0,9.938155263E0
4.608446917E0,-5.044509888E-1,5.363197174E0,8.344397736E0,9.932136140E0
4.618525917E0,-5.207670593E-1,5.338797913E0,8.361162872E0,9.933932054E0
4.628604917E0,-5.004093933E-1,5.329517212E0,8.377928009E0,9.942023989E0
4.638683917E0,-4.879852295E-1,5.381908264E0,8.316855011E0,9.918323620E0
4.648763917E0,-5.176235962E-1,5.399421844E0,8.289461975E0,9.906405518E0
4.658842917E0,-5.361849976E-1,5.378016357E0,8.296647034E0,9.901762787E0
4.668921917E0,-5.225633240E-1,5.401667175E0,8.305927734E0,9.921669024E0
4.679000917E0,-4.897814941E-1,5.430856476E0,8.278085632E0,9.912658055E0
4.689080917E0,-4.953199768E-1,5.425467682E0,8.223748627E0,9.864638003E0
4.699159917E0,-5.165757751E-1,5.400619354E0,8.219557343E0,9.848586845E0
4.709238917E0,-5.352868652E-1,5.406606903E0,8.253836060E0,9.881484703E0
4.719317917E0,-4.936734009E-1,5.416636047E0,8.237220612E0,9.870940325E0
4.729396917E0,-4.805007935E-1,5.442681885E0,8.201894073E0,9.855188152E0
4.739476917E0,-5.215155029E-1,5.444627838E0,8.297395477E0,9.937943571E0
4.749555917E0,-5.501060486E-1,5.440286865E0,8.392298126E0,1.001648669E1
4.759634917E0,-5.423222351E-1,5.433251495E0,8.353379059E0,9.979643126E0
4.769713917E0,-5.533992004E-1,5.401218109E0,8.305927734E0,9.923096456E0
4.779792917E0,-5.807922363E-1,5.372777252E0,8.299640808E0,9.903943284E0
4.789872917E0,-5.989045715E-1,5.368136902E0,8.300688629E0,9.903383876E0
4.799951917E0,-6.093827820E-1,5.358556824E0,8.289012909E0,9.889045131E0
4.810030917E0,-6.503974915E-1,5.346581726E0,8.250842285E0,9.853189913E0
4.820109917E0,-7.057823181E-1,5.357808380E0,8.268056488E0,9.877499552E0
4.830188917E0,-7.002438354E-1,5.372028809E0,8.282426605E0,9.896849267E0
4.840268917E0,-6.574328613E-1,5.374872894E0,8.302185516E0,9.912000855E0
4.850347917E0,-5.900729370E-1,5.409600677E0,8.310119019E0,9.933279603E0
4.860426917E0,-5.713618469E-1,5.403313751E0,8.305179291E0,9.924628804E0
4.870505917E0,-5.608836365E-1,5.381459198E0,8.273445282E0,9.885574864E0
4.880584917E0,-5.653742981E-1,5.397625580E0,8.255332947E0,9.879500598E0
4.890664917E0,-5.911207581E-1,5.422324219E0,8.300988007E0,9.932644440E0
4.900743917E0,-6.020480347E-1,5.431455231E0,8.339757385E0,9.970693106E0
4.910822917E0,-6.192622375E-1,5.411396942E0,8.303383026E0,9.930401415E0
4.920901917E0,-6.442602539E-1,5.398972778E0,8.242908783E0,9.874691060E0
4.930981917E0,-6.593788147E-1,5.397475891E0,8.254584503E0,9.884618947E0
4.941060917E0,-6.200106812E-1,5.389841766E0,8.272996216E0,9.893294391E0
4.951139917E0,-5.906716919E-1,5.407804413E0,8.223149872E0,9.859687390E0
4.961218917E0,-5.743556213E-1,5.423821106E0,8.255632324E0,9.894603824E0
4.971297917E0,-5.520520020E-1,5.430706787E0,8.293653259E0,9.928847970E0
4.981377917E0,-5.275030518E-1,5.424419861E0,8.313711548E0,9.940844531E0
4.991456917E0,-5.038522339E-1,5.426365814E0,8.318202209E0,9.944435681E0
5.001535917E0,-5.309458923E-1,5.416785736E0,8.317154388E0,9.939744885E0
